Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
643100.0,694100.0,700937.33,643100.0,32049.16,528600.0,522400.0,224670.57,528500.0,213351.7,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 09:07:22
643100.0,694100.0,700937.33,643100.0,32049.16,528600.0,522400.0,224603.29,528500.0,213358.65,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 09:18:27
643100.0,694100.0,700937.33,643100.0,32049.16,528500.0,522400.0,224434.96,528500.0,213375.96,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 10:18:32
643100.0,694100.0,700801.96,643100.0,31745.8,528500.0,522400.0,224165.34,528500.0,213403.56,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 10:57:33
643100.0,694100.0,700801.96,643100.0,31745.8,528500.0,522400.0,224165.34,528500.0,213403.56,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 11:09:36
643100.0,694100.0,700801.96,643100.0,31745.8,528500.0,522400.0,223827.71,528500.0,213437.67,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 11:15:20
642900.0,694100.0,698892.24,643000.0,32879.37,528500.0,522400.0,223658.64,528500.0,213454.57,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 12:34:17
642600.0,694100.0,698743.02,642800.0,32971.33,528600.0,522400.0,223152.31,528600.0,213508.7,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 13:23:49
642600.0,694100.0,698743.02,642800.0,32971.33,528800.0,527400.0,229762.3,528800.0,212820.71,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 14:16:56
638800.0,694100.0,696979.91,638800.0,34186.15,528900.0,528600.0,229305.45,528900.0,213300.52,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 15:18:17
638500.0,694100.0,696739.96,638500.0,34570.06,528900.0,528600.0,228747.41,528900.0,213369.57,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 16:21:03
638500.0,694100.0,696679.12,638500.0,34603.03,528900.0,528600.0,228484.15,528900.0,213401.7,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 17:16:58
638500.0,694100.0,696740.18,638500.0,34569.71,529000.0,528600.0,228299.34,529000.0,213452.12,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 18:23:47
638500.0,694100.0,696903.64,638500.0,34479.87,529000.0,522400.0,227539.04,529000.0,213542.54,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 19:15:35
638500.0,694100.0,696489.22,638500.0,34354.77,529200.0,522400.0,227492.69,529200.0,213591.49,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 20:19:51
529300.0,694100.0,695690.68,638000.0,34940.37,529200.0,522400.0,226561.63,529200.0,213698.19,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 21:17:01
637800.0,694100.0,695686.96,637900.0,34854.35,529200.0,522400.0,226261.25,529200.0,213731.85,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 22:17:41
637000.0,694100.0,695564.02,637900.0,34921.23,529200.0,522400.0,225289.67,529200.0,213838.1,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-02 23:17:19
529300.0,694100.0,695310.39,637900.0,35427.78,529200.0,522400.0,224953.34,529200.0,213873.96,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-03 01:26:24
636000.0,694100.0,695377.3,637900.0,35025.18,529300.0,522400.0,225289.82,529200.0,213838.42,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-03 03:18:15
636000.0,694100.0,695439.41,637900.0,34990.74,529300.0,522400.0,225256.21,529200.0,213842.01,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-03 04:29:07
635800.0,694100.0,695391.68,635900.0,35044.21,529500.0,522400.0,224992.73,529400.0,213882.53,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-03 05:20:53
635800.0,694100.0,695391.68,635900.0,35044.21,529500.0,522400.0,224824.24,529400.0,213900.1,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-03 06:30:55
642500.0,694100.0,704751.05,643000.0,28516.62,529700.0,522400.0,226424.98,529600.0,213926.86,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-03 07:20:58
642000.0,694100.0,704529.06,643000.0,28537.16,530000.0,522400.0,225767.37,529900.0,214100.52,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-03 08:28:11
641900.0,694100.0,703186.92,642900.0,29604.44,529900.0,522400.0,224756.69,529900.0,214207.28,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-03 09:23:54
641800.0,694100.0,702853.37,642800.0,29856.67,529900.0,522400.0,222956.64,529900.0,214387.46,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-03 10:23:40
640000.0,694100.0,701859.65,640000.0,30644.69,529900.0,522400.0,222580.64,529900.0,214423.32,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-03 11:17:55
640000.0,694100.0,701859.65,640000.0,30644.69,529900.0,522400.0,222477.95,529900.0,214433.0,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-03 12:40:18
639000.0,694100.0,700260.61,639900.0,31791.84,529900.0,522400.0,221929.23,529900.0,214483.97,Large S95a Scoped Remote Shield Booster,8641,jita,2025-11-03 13:31:44
