Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp,Sell_Buy_Spread,Sell_Buy_%,Daily_Change_%,Volatility_7d
458.9,508.0,517.28,458.9,98.54,430.4,388.4,394.36,430.4,33.16,Oxygen,3683,C-J6MT,2025-11-02 09:05:28,28.5,6.621747211895911,,
396.5,497.2,480.68,396.6,236.13,360.0,1.15,10.16,360.0,154.63,Oxygen,3683,jita,2025-11-02 09:05:28,36.5,10.13888888888889,,
15020.0,15740.0,15653.14,15040.0,495.19,11880.0,11540.0,10318.88,11880.0,1447.21,Coolant,9832,C-J6MT,2025-11-02 09:05:29,3140.0,26.430976430976433,,
13500.0,13880.0,14111.97,13500.0,8278.29,12350.0,29.0,186.71,12350.0,5244.78,Coolant,9832,jita,2025-11-02 09:05:29,1150.0,9.31174089068826,,
14870.0,15850.0,15811.54,15000.0,553.37,12900.0,12860.0,12345.52,12900.0,1166.32,Enriched Uranium,44,C-J6MT,2025-11-02 09:05:31,1970.0,15.271317829457365,,
14350.0,14900.0,16064.37,14350.0,12131.6,14120.0,1.15,18.25,14120.0,6202.45,Enriched Uranium,44,jita,2025-11-02 09:05:31,230.0,1.6288951841359773,,
12330.0,12610.0,12781.34,12360.0,331.89,12080.0,3100.0,109.96,12080.0,5405.14,Mechanical Parts,3689,jita,2025-11-02 09:05:32,250.0,2.06953642384106,,
14870.0,14970.0,14950.89,14870.0,42.68,12430.0,10930.0,10661.5,12430.0,1296.66,Mechanical Parts,3689,C-J6MT,2025-11-02 09:05:32,2440.0,19.629927594529363,,
90330.0,91090.0,92754.62,90340.0,3635.45,87400.0,9249.0,789.89,87400.0,36447.58,Robotics,9848,jita,2025-11-02 09:05:33,2930.0,3.3524027459954233,,
91480.0,92300.0,92890.67,91480.0,1079.55,85580.0,84380.0,84209.74,85580.0,537.96,Robotics,9848,C-J6MT,2025-11-02 09:05:33,5900.0,6.8941341434914705,,
107.0,115.0,129.2,107.0,59.44,82.06,60.01,46.91,82.04,23.08,Liquid Ozone,16273,C-J6MT,2025-11-02 09:05:34,24.939999999999998,30.392395807945405,,
130.5,173.0,168.92,145.0,1134.61,130.4,25.02,29.03,130.4,29.07,Liquid Ozone,16273,jita,2025-11-02 09:05:34,0.09999999999999432,0.07668711656441281,,
114.4,121.1,126.32,114.5,3211.79,104.0,12.07,23.06,104.0,37.16,Heavy Water,16272,jita,2025-11-02 09:05:35,10.400000000000006,10.000000000000005,,
35.97,39.99,42.2,35.97,6.83,23.05,19.12,18.74,23.04,3.45,Heavy Water,16272,C-J6MT,2025-11-02 09:05:35,12.919999999999998,56.05206073752711,,
4413.0,4963.0,5176.46,4750.0,109360.11,4400.0,3322.0,1445.87,4400.0,1385.59,Strontium Clathrates,16275,jita,2025-11-02 09:05:36,13.0,0.29545454545454547,,
3917.0,3995.0,4551.65,3917.0,4326.37,3532.0,2955.0,2888.56,3532.0,521.63,Strontium Clathrates,16275,C-J6MT,2025-11-02 09:05:36,385.0,10.900339750849378,,
1187.0,1300.0,1271.01,1187.0,74.45,936.2,936.1,935.89,936.2,0.63,Helium Isotopes,16274,C-J6MT,2025-11-02 09:05:37,250.79999999999995,26.789147618030327,,
1064.0,1114.0,1147.44,1065.0,108.45,945.3,861.3,593.93,945.3,300.34,Helium Isotopes,16274,jita,2025-11-02 09:05:37,118.70000000000005,12.556860256003391,,
666.7,750.8,781.05,724.0,140.36,666.6,80.0,58.01,666.1,307.05,Hydrogen Isotopes,17889,jita,2025-11-02 09:05:38,0.10000000000002274,0.015001500150018412,,
768.7,775.2,797.59,768.7,70.31,692.3,687.2,651.61,692.0,86.81,Hydrogen Isotopes,17889,C-J6MT,2025-11-02 09:05:38,76.40000000000009,11.03567817420195,,
917.7,960.4,963.15,917.8,34.84,873.2,756.1,683.73,873.2,178.12,Nitrogen Isotopes,17888,C-J6MT,2025-11-02 09:05:39,44.5,5.096197892808061,,
789.7,858.9,864.42,789.8,52.62,725.0,0.11,0.53,720.1,260.84,Nitrogen Isotopes,17888,jita,2025-11-02 09:05:39,64.70000000000005,8.924137931034489,,
1016.0,1070.0,1111.54,1016.0,95.51,915.0,910.1,633.76,915.0,272.98,Oxygen Isotopes,17887,C-J6MT,2025-11-02 09:05:40,101.0,11.03825136612022,,
833.1,910.8,1008.86,833.1,281.93,833.0,0.15,0.5,832.0,277.49,Oxygen Isotopes,17887,jita,2025-11-02 09:05:40,0.10000000000002274,0.012004801920771037,,
25680.0,25690.0,25685.16,25680.0,5.0,17200.0,17090.0,17100.41,17200.0,34.08,Helium Fuel Block,4247,C-J6MT,2025-11-02 09:05:41,8480.0,49.30232558139535,,
23990.0,24950.0,26131.01,23990.0,1205007.81,22770.0,0.01,0.01,0.01,1095.56,Helium Fuel Block,4247,jita,2025-11-02 09:05:41,1220.0,5.357927097057532,,
24500.0,24890.0,25125.2,24500.0,357.5,20040.0,20040.0,20040.0,20040.0,0.0,Nitrogen Fuel Block,4051,C-J6MT,2025-11-02 09:05:42,4460.0,22.255489021956087,,
20870.0,21700.0,22055.82,20890.0,975.64,20210.0,0.01,0.01,0.15,1201.04,Nitrogen Fuel Block,4051,jita,2025-11-02 09:05:42,660.0,3.2657100445324097,,
20950.0,21740.0,22064.62,21250.0,751.55,20010.0,0.01,0.01,0.15,1102.69,Hydrogen Fuel Block,4246,jita,2025-11-02 09:05:42,940.0,4.697651174412794,,
19160.0,19840.0,20105.68,19160.0,809.06,16300.0,16260.0,15886.43,16300.0,1090.52,Hydrogen Fuel Block,4246,C-J6MT,2025-11-02 09:05:42,2860.0,17.54601226993865,,
25470.0,25500.0,25657.49,25470.0,201.72,21800.0,21710.0,21399.67,21800.0,719.06,Oxygen Fuel Block,4312,C-J6MT,2025-11-02 09:05:43,3670.0,16.8348623853211,,
21330.0,22820.0,22908.46,21330.0,1263.19,19560.0,0.01,0.01,0.15,791.18,Oxygen Fuel Block,4312,jita,2025-11-02 09:05:43,1770.0,9.049079754601227,,
458.9,508.0,517.28,458.9,98.54,430.4,388.4,394.36,430.4,33.16,Oxygen,3683,C-J6MT,2025-11-02 09:15:52,28.5,6.621747211895911,0.0,0.0
396.4,497.2,480.58,396.6,236.03,360.1,1.15,10.53,360.0,155.66,Oxygen,3683,jita,2025-11-02 09:15:52,36.299999999999955,10.080533185226313,-0.02522068095839325,0.07071067811867082
15020.0,15740.0,15653.14,15040.0,495.19,11880.0,11540.0,10318.88,11880.0,1447.21,Coolant,9832,C-J6MT,2025-11-02 09:15:54,3140.0,26.430976430976433,0.0,0.0
13490.0,13860.0,14102.55,13490.0,8217.84,12350.0,29.0,186.71,12350.0,5244.78,Coolant,9832,jita,2025-11-02 09:15:54,1140.0,9.230769230769232,-0.07407407407407085,7.0710678118654755
14870.0,15850.0,15811.54,15000.0,553.37,12900.0,12860.0,12345.52,12900.0,1166.32,Enriched Uranium,44,C-J6MT,2025-11-02 09:15:56,1970.0,15.271317829457365,0.0,0.0
14350.0,14900.0,16073.44,14370.0,12160.46,14120.0,1.15,18.25,14120.0,6202.45,Enriched Uranium,44,jita,2025-11-02 09:15:56,230.0,1.6288951841359773,0.0,0.0
12360.0,12620.0,12787.74,12360.0,330.02,12080.0,3100.0,109.96,12080.0,5405.14,Mechanical Parts,3689,jita,2025-11-02 09:15:57,280.0,2.3178807947019866,0.24330900243310083,21.213203435596427
14870.0,14970.0,14950.89,14870.0,42.68,12430.0,10930.0,10661.5,12430.0,1296.66,Mechanical Parts,3689,C-J6MT,2025-11-02 09:15:57,2440.0,19.629927594529363,0.0,0.0
90330.0,91090.0,92754.93,90340.0,3635.57,87400.0,9249.0,789.89,87400.0,36447.58,Robotics,9848,jita,2025-11-02 09:15:59,2930.0,3.3524027459954233,0.0,0.0
91480.0,92300.0,92890.67,91480.0,1079.55,85580.0,84380.0,84209.74,85580.0,537.96,Robotics,9848,C-J6MT,2025-11-02 09:15:59,5900.0,6.8941341434914705,0.0,0.0
130.5,173.0,168.93,145.0,1134.64,130.4,25.02,28.97,130.4,28.89,Liquid Ozone,16273,jita,2025-11-02 09:16:00,0.09999999999999432,0.07668711656441281,0.0,0.0
107.0,115.0,129.2,107.0,59.44,82.06,60.01,46.96,82.05,23.1,Liquid Ozone,16273,C-J6MT,2025-11-02 09:16:00,24.939999999999998,30.392395807945405,0.0,0.0
114.4,121.1,126.34,114.5,3214.19,104.0,12.07,23.06,104.0,37.15,Heavy Water,16272,jita,2025-11-02 09:16:02,10.400000000000006,10.000000000000005,0.0,0.0
35.97,39.99,42.2,35.97,6.83,23.05,19.12,18.74,23.04,3.45,Heavy Water,16272,C-J6MT,2025-11-02 09:16:02,12.919999999999998,56.05206073752711,0.0,0.0
3917.0,3995.0,4551.65,3917.0,4326.37,3532.0,2955.0,2888.56,3532.0,521.63,Strontium Clathrates,16275,C-J6MT,2025-11-02 09:16:03,385.0,10.900339750849378,0.0,0.0
4413.0,4963.0,5176.37,4750.0,109349.91,4400.0,3322.0,1445.87,4400.0,1385.59,Strontium Clathrates,16275,jita,2025-11-02 09:16:03,13.0,0.29545454545454547,0.0,0.0
1187.0,1300.0,1271.57,1189.0,74.37,936.2,936.1,935.89,936.2,0.63,Helium Isotopes,16274,C-J6MT,2025-11-02 09:16:05,250.79999999999995,26.789147618030327,0.0,0.0
1063.0,1114.0,1147.43,1065.0,108.45,945.3,861.3,593.93,945.3,300.34,Helium Isotopes,16274,jita,2025-11-02 09:16:05,117.70000000000005,12.451073733206396,-0.09398496240601295,0.7071067811865476
768.7,775.2,797.65,768.7,70.37,692.4,687.2,651.62,692.0,86.82,Hydrogen Isotopes,17889,C-J6MT,2025-11-02 09:16:06,76.30000000000007,11.019641825534384,0.0,0.0
666.7,748.9,778.54,723.9,137.91,666.6,80.0,58.01,666.1,307.05,Hydrogen Isotopes,17889,jita,2025-11-02 09:16:06,0.10000000000002274,0.015001500150018412,0.0,0.0
916.0,960.4,963.15,917.8,34.84,873.2,756.1,683.73,873.2,178.12,Nitrogen Isotopes,17888,C-J6MT,2025-11-02 09:16:07,42.799999999999955,4.901511681172693,-0.185245723003169,1.202081528017163
788.2,858.9,864.46,789.8,52.6,725.0,0.11,0.53,720.1,260.84,Nitrogen Isotopes,17888,jita,2025-11-02 09:16:07,63.200000000000045,8.717241379310352,-0.18994554894263826,1.0606601717798212
1016.0,1070.0,1111.82,1016.0,95.5,915.0,910.1,633.76,915.0,272.98,Oxygen Isotopes,17887,C-J6MT,2025-11-02 09:16:09,101.0,11.03825136612022,0.0,0.0
890.0,910.8,1011.73,890.0,283.25,833.0,0.15,0.5,832.0,277.49,Oxygen Isotopes,17887,jita,2025-11-02 09:16:09,57.0,6.8427370948379345,6.82991237546513,40.23437584951458
23900.0,24950.0,26138.59,24000.0,1207065.18,22770.0,0.01,0.01,0.01,1095.56,Helium Fuel Block,4247,jita,2025-11-02 09:16:10,1130.0,4.962670180061485,-0.37515631513130865,63.63961030678928
25680.0,25690.0,25685.16,25680.0,5.0,17200.0,17090.0,17100.41,17200.0,34.08,Helium Fuel Block,4247,C-J6MT,2025-11-02 09:16:10,8480.0,49.30232558139535,0.0,0.0
20950.0,21740.0,22065.11,21250.0,751.35,20010.0,0.01,0.01,0.15,1102.69,Hydrogen Fuel Block,4246,jita,2025-11-02 09:16:11,940.0,4.697651174412794,0.0,0.0
19160.0,19840.0,20105.68,19160.0,809.06,16300.0,16260.0,15886.43,16300.0,1090.52,Hydrogen Fuel Block,4246,C-J6MT,2025-11-02 09:16:11,2860.0,17.54601226993865,0.0,0.0
24500.0,24890.0,25125.2,24500.0,357.5,20040.0,20040.0,20040.0,20040.0,0.0,Nitrogen Fuel Block,4051,C-J6MT,2025-11-02 09:16:12,4460.0,22.255489021956087,0.0,0.0
21080.0,21850.0,22113.69,21080.0,965.87,20210.0,0.01,0.01,0.15,1201.04,Nitrogen Fuel Block,4051,jita,2025-11-02 09:16:12,870.0,4.304799604156359,1.0062290368950677,148.49242404917499
21330.0,22820.0,22908.9,21330.0,1263.08,19560.0,0.01,0.01,0.15,791.18,Oxygen Fuel Block,4312,jita,2025-11-02 09:16:13,1770.0,9.049079754601227,0.0,0.0
25470.0,25500.0,25657.49,25470.0,201.72,21800.0,21710.0,21399.67,21800.0,719.06,Oxygen Fuel Block,4312,C-J6MT,2025-11-02 09:16:13,3670.0,16.8348623853211,0.0,0.0
458.9,510.0,517.8,458.9,98.77,430.4,388.4,394.36,430.4,33.16,Oxygen,3683,C-J6MT,2025-11-02 10:16:37,28.5,6.621747211895911,0.0,0.0
396.2,495.2,479.5,396.2,234.89,362.0,1.15,12.29,362.0,159.79,Oxygen,3683,jita,2025-11-02 10:16:37,34.19999999999999,9.447513812154693,-0.050454086781026586,0.15275252316520613
13440.0,13790.0,14051.53,13450.0,8130.65,12350.0,29.0,186.71,12350.0,5244.78,Coolant,9832,jita,2025-11-02 10:16:38,1090.0,8.82591093117409,-0.3706449221645647,32.14550253664292
15010.0,15740.0,15630.09,15010.0,500.95,11880.0,11540.0,10318.88,11880.0,1447.21,Coolant,9832,C-J6MT,2025-11-02 10:16:38,3130.0,26.346801346801346,-0.06657789613848664,5.773502691895995
14370.0,14900.0,15890.55,14370.0,11493.43,14120.0,1.15,18.25,14120.0,6202.45,Enriched Uranium,44,jita,2025-11-02 10:16:39,250.0,1.7705382436260624,0.13937282229965486,11.547005383792778
14870.0,15850.0,15811.54,15000.0,553.37,12900.0,12860.0,12345.52,12900.0,1166.32,Enriched Uranium,44,C-J6MT,2025-11-02 10:16:39,1970.0,15.271317829457365,0.0,0.0
12390.0,12580.0,12766.1,12390.0,332.8,12080.0,3100.0,109.96,12080.0,5405.14,Mechanical Parts,3689,jita,2025-11-02 10:16:40,310.0,2.566225165562914,0.24271844660195274,30.0
10000.0,11570.0,12278.85,10100.0,3608994.77,18000.0,1.15,6.11,12410.0,4670.94,Mechanical Parts,3689,C-J6MT,2025-11-02 10:16:40,-8000.0,-44.44444444444444,-32.75050437121722,2811.695810953477
90000.0,92200.0,92363.28,90000.0,1481.47,85580.0,84400.0,84240.56,85580.0,552.31,Robotics,9848,C-J6MT,2025-11-02 10:16:41,4420.0,5.164758121056321,-1.617839965019674,854.4783984006483
90460.0,91090.0,92735.74,90470.0,3621.85,87430.0,9249.0,805.83,87400.0,36596.54,Robotics,9848,jita,2025-11-02 10:16:41,3030.0,3.4656296465744023,0.14391674969556068,75.05553499465346
130.5,173.0,168.93,145.0,1134.68,130.4,25.02,28.95,130.4,28.81,Liquid Ozone,16273,jita,2025-11-02 10:16:42,0.09999999999999432,0.07668711656441281,0.0,0.0
107.0,115.0,129.21,107.0,59.44,82.06,60.01,46.96,82.05,23.1,Liquid Ozone,16273,C-J6MT,2025-11-02 10:16:42,24.939999999999998,30.392395807945405,0.0,0.0
