Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
114.4,121.1,126.32,114.5,3211.79,104.0,12.07,23.06,104.0,37.16,Heavy Water,16272,jita,2025-11-02 09:05:35
114.4,121.1,126.34,114.5,3214.19,104.0,12.07,23.06,104.0,37.15,Heavy Water,16272,jita,2025-11-02 09:16:02
114.2,121.1,126.23,114.4,3200.23,104.0,12.07,23.04,104.0,37.13,Heavy Water,16272,jita,2025-11-02 10:16:43
114.1,121.1,126.14,114.2,3189.52,104.1,12.07,23.05,104.0,37.14,Heavy Water,16272,jita,2025-11-02 10:55:08
114.1,121.1,126.14,114.2,3189.52,104.1,12.07,23.05,104.0,37.14,Heavy Water,16272,jita,2025-11-02 11:07:11
114.0,121.1,126.1,114.2,3184.76,104.1,12.07,23.05,104.0,37.14,Heavy Water,16272,jita,2025-11-02 11:13:15
113.9,121.1,126.01,114.0,3172.7,104.1,12.07,23.05,104.0,37.14,Heavy Water,16272,jita,2025-11-02 12:31:53
113.6,121.1,125.73,113.7,3138.54,104.1,12.07,23.39,104.1,37.54,Heavy Water,16272,jita,2025-11-02 13:22:03
113.4,121.1,125.43,113.4,3101.79,104.1,12.07,23.28,104.0,37.42,Heavy Water,16272,jita,2025-11-02 14:14:52
103.2,121.1,125.8,113.7,3148.45,102.7,12.07,22.61,101.2,36.58,Heavy Water,16272,jita,2025-11-02 15:15:53
113.6,121.1,125.72,113.7,3137.79,103.3,12.07,25.07,103.3,39.17,Heavy Water,16272,jita,2025-11-02 16:19:12
113.6,121.1,125.78,113.7,3144.74,103.3,12.07,25.06,103.3,39.16,Heavy Water,16272,jita,2025-11-02 17:14:28
113.5,121.1,125.73,113.7,3138.66,103.6,12.07,28.21,103.6,41.33,Heavy Water,16272,jita,2025-11-02 18:21:43
113.5,121.1,125.79,113.7,3145.53,103.6,12.07,28.18,103.6,41.32,Heavy Water,16272,jita,2025-11-02 19:13:09
113.7,121.1,125.91,113.9,3160.46,103.6,12.07,28.18,103.6,41.32,Heavy Water,16272,jita,2025-11-02 20:17:59
113.7,121.1,125.95,113.9,3166.07,103.6,12.07,28.18,103.6,41.31,Heavy Water,16272,jita,2025-11-02 21:14:36
113.5,121.1,125.94,113.7,3165.1,103.6,12.07,28.14,103.6,41.3,Heavy Water,16272,jita,2025-11-02 22:15:48
113.4,121.1,125.95,113.6,3166.76,103.7,12.07,28.17,103.7,41.43,Heavy Water,16272,jita,2025-11-02 23:15:29
113.5,121.1,126.05,113.9,3178.78,103.7,12.07,27.58,103.7,41.1,Heavy Water,16272,jita,2025-11-03 01:24:37
