Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
Nitrogen Isotopes,17888,0.03,jita,C-J6MT,725.0,789.7,873.2,917.7,1200,112.20000000000005,47.5,156.70000000000005,92.0,0.14743758212877797,0.057526946832990186,0.20591327201051254,0.11142061281337047,2025-11-02 09:09:22.801213
Oxygen Isotopes,17887,0.03,jita,C-J6MT,833.0,833.1,915.0,1016.0,1200,46.0,45.89999999999998,147.0,146.89999999999998,0.05293440736478711,0.05281325509147391,0.16915995397008055,0.16902542860430328,2025-11-02 09:09:22.803256
Hydrogen Isotopes,17889,0.03,jita,C-J6MT,666.6,666.7,692.3,768.7,1200,-10.300000000000068,-10.400000000000091,66.10000000000002,66.0,-0.014659834898946865,-0.014800056923295987,0.09407913464275551,0.09392343816706987,2025-11-02 09:09:22.799197
Helium Isotopes,16274,0.03,jita,C-J6MT,945.3,1064.0,936.2,1187.0,1200,-45.09999999999991,-163.79999999999995,205.70000000000005,87.0,-0.045959441557118015,-0.14890909090909088,0.20961989198002656,0.07909090909090909,2025-11-02 09:09:22.797152
Oxygen,3683,0.19,jita,C-J6MT,360.0,396.5,430.4,458.9,1200,-157.60000000000002,-194.10000000000002,-129.10000000000002,-165.60000000000002,-0.2680272108843538,-0.31080864691753407,-0.21955782312925173,-0.2651721377101682,2025-11-02 09:09:22.780806
Liquid Ozone,16273,0.4,jita,C-J6MT,130.4,130.5,82.06,107.0,1200,-528.3399999999999,-528.44,-503.4,-503.5,-0.8655635648754914,-0.8655855855855856,-0.8247051114023591,-0.8247338247338247,2025-11-02 09:09:22.791043
Heavy Water,16272,0.4,jita,C-J6MT,104.0,114.4,23.05,35.97,1200,-560.95,-571.35,-548.03,-558.43,-0.9605308219178083,-0.9612213997308211,-0.9384075342465753,-0.9394851951547779,2025-11-02 09:09:22.793074
Mechanical Parts,3689,0.75,jita,C-J6MT,12080.0,12330.0,12430.0,14870.0,1200,-550.0,-800.0,1890.0,1640.0,-0.0423728813559322,-0.06046863189720333,0.14560862865947613,0.12396069538926682,2025-11-02 09:09:22.786961
Enriched Uranium,44,0.75,jita,C-J6MT,14120.0,14350.0,12900.0,14870.0,1200,-2120.0,-2350.0,-150.0,-380.0,-0.1411451398135819,-0.1540983606557377,-0.009986684420772303,-0.024918032786885248,2025-11-02 09:09:22.784927
Coolant,9832,0.75,jita,C-J6MT,12350.0,13500.0,11880.0,15020.0,1200,-1370.0,-2520.0,1770.0,620.0,-0.10339622641509434,-0.175,0.13358490566037737,0.043055555555555555,2025-11-02 09:09:22.782882
Strontium Clathrates,16275,3.0,jita,C-J6MT,4400.0,4413.0,3532.0,3917.0,1200,-4468.0,-4481.0,-4083.0,-4096.0,-0.5585,-0.5592162735554723,-0.510375,-0.5111693498065644,2025-11-02 09:09:22.795099
Oxygen Fuel Block,4312,5.0,jita,C-J6MT,19560.0,21330.0,21800.0,25470.0,1200,-3760.0,-5530.0,-90.0,-1860.0,-0.14710485133020346,-0.20234174899377974,-0.0035211267605633804,-0.06805708013172337,2025-11-02 09:09:22.811348
Nitrogen Fuel Block,4051,5.0,jita,C-J6MT,20210.0,20870.0,20040.0,24500.0,1200,-6170.0,-6830.0,-1710.0,-2370.0,-0.23540633346051126,-0.25418682545589877,-0.0652422739412438,-0.08820245627093412,2025-11-02 09:09:22.809332
Robotics,9848,3.0,jita,C-J6MT,87400.0,90330.0,85580.0,91480.0,1200,-5420.0,-8350.0,480.0,-2450.0,-0.05956043956043956,-0.08889598637283083,0.005274725274725275,-0.026083253486638987,2025-11-02 09:09:22.788977
Hydrogen Fuel Block,4246,5.0,jita,C-J6MT,20010.0,20950.0,16300.0,19160.0,1200,-9710.0,-10650.0,-6850.0,-7790.0,-0.3733179546328335,-0.39517625231910947,-0.263360246059208,-0.28905380333951763,2025-11-02 09:09:22.807316
Helium Fuel Block,4247,5.0,jita,C-J6MT,22770.0,23990.0,17200.0,25680.0,1200,-11570.0,-12790.0,-3090.0,-4310.0,-0.4021550225929788,-0.4264754918306102,-0.10740354535974973,-0.1437145715238413,2025-11-02 09:09:22.805275
